,ticker
0,A
1,AAL
2,AAP
3,AAPL
4,ABT
5,ACN
6,ADBE
7,ADI
8,ADM
9,ADP
10,ADSK
11,AEE
12,AEP
13,AES
14,AFL
15,AIG
16,AIV
17,AIZ
18,AJG
19,AKAM
20,ALB
21,ALGN
22,ALK
23,ALL
24,AMAT
25,AMD
26,AME
27,AMG
28,AMGN
29,AMP
30,AMT
31,AMZN
32,AN
33,ANF
34,AON
35,AOS
36,APA
37,APD
38,APH
39,ARE
40,ATGE
41,ATI
42,AVB
43,AVGO
44,AVY
45,AWK
46,AXP
47,AYI
48,AZO
49,BA
50,BAC
51,BAX
52,BBBY
53,BBT
54,BBY
55,BDX
56,BEN
57,BIIB
58,BK
59,BKNG
60,BLK
61,BMY
62,BR
63,BSX
64,BWA
65,BXP
66,C
67,CAG
68,CAH
69,CAT
70,CB
71,CBRE
72,CCEP
73,CCI
74,CCL
75,CDNS
76,CE
77,CF
78,CHD
79,CHRW
80,CI
81,CINF
82,CL
83,CLF
84,CLX
85,CMCSA
86,CME
87,CMG
88,CMI
89,CMS
90,CNC
91,CNP
92,CNX
93,COF
94,COO
95,COP
96,COST
97,CPB
98,CPRT
99,CPWR
100,CRM
101,CSCO
102,CSX
103,CTAS
104,CTSH
105,CVS
106,CVX
107,D
108,DAL
109,DD
110,DE
111,DG
112,DGX
113,DHI
114,DHR
115,DIS
116,DLR
117,DLTR
118,DOV
119,DRI
120,DTE
121,DUK
122,DVA
123,DVN
124,DXC
125,EA
126,EBAY
127,ECL
128,ED
129,EFX
130,EIX
131,EL
132,EMN
133,EMR
134,EOG
135,EP
136,EQIX
137,EQR
138,EQT
139,ES
140,ESS
141,ETN
142,ETR
143,EVRG
144,EW
145,EXC
146,EXPD
147,EXPE
148,EXR
149,F
150,FAST
151,FCX
152,FDX
153,FE
154,FFIV
155,FHN
156,FIS
157,FITB
158,FLR
159,FLS
160,FMC
161,FOSL
162,FRT
163,FSLR
164,FTI
165,FTNT
166,GD
167,GE
168,GENZ
169,GHC
170,GILD
171,GIS
172,GLW
173,GME
174,GNW
175,GOOG
176,GOOGL
177,GPC
178,GPN
179,GRMN
180,GS
181,GT
182,GWW
183,HAL
184,HAS
185,HBAN
186,HD
187,HIG
188,HOG
189,HOLX
190,HON
191,HP
192,HPQ
193,HRB
194,HRL
195,HSIC
196,HST
197,HSY
198,HUM
199,IBM
200,ICE
201,IDXX
202,IFF
203,ILMN
204,INCY
205,INTC
206,INTU
207,IP
208,IPGP
209,IRM
210,ISRG
211,IT
212,ITT
213,ITW
214,IVZ
215,JBHT
216,JBL
217,JCI
218,JEF
219,JKHY
220,JNJ
221,JPM
222,KDP
223,KEY
224,KG
225,KIM
226,KLAC
227,KMB
228,KMX
229,KO
230,KR
231,KSS
232,L
233,LDOS
234,LEG
235,LEN
236,LH
237,LKQ
238,LLY
239,LMT
240,LNC
241,LNT
242,LOW
243,LRCX
244,LUV
245,M
246,MA
247,MAA
248,MAC
249,MAR
250,MAS
251,MAT
252,MCD
253,MCHP
254,MCK
255,MCO
256,MDLZ
257,MDT
258,MET
259,MGM
260,MHK
261,MKC
262,MLM
263,MMM
264,MNST
265,MO
266,MOS
267,MRK
268,MS
269,MSCI
270,MSFT
271,MSI
272,MTB
273,MTD
274,MU
275,MUR
276,NBR
277,NDAQ
278,NEE
279,NEM
280,NFLX
281,NI
282,NKE
283,NKTR
284,NOC
285,NOV
286,NRG
287,NSC
288,NTAP
289,NTRS
290,NUE
291,NVDA
292,NWL
293,NYT
294,O
295,OI
296,OKE
297,OMC
298,ORCL
299,ORLY
300,OXY
301,PAYX
302,PBI
303,PCAR
304,PCG
305,PEG
306,PEP
307,PFE
308,PFG
309,PG
310,PGR
311,PH
312,PHM
313,PKG
314,PLD
315,PM
316,PNC
317,PNR
318,PNW
319,PPG
320,PPL
321,PRGO
322,PRU
323,PSA
324,PVH
325,PWR
326,QCOM
327,R
328,RCL
329,REG
330,REGN
331,RF
332,RHI
333,RIG
334,RJF
335,RL
336,RMD
337,ROK
338,ROL
339,ROP
340,ROST
341,RRC
342,RSG
343,SBAC
344,SBUX
345,SCHW
346,SEE
347,SHW
348,SIG
349,SJM
350,SLB
351,SLG
352,SLM
353,SNA
354,SNPS
355,SO
356,SPG
357,SPGI
358,SRE
359,STT
360,STX
361,STZ
362,SWK
363,SWKS
364,SYK
365,SYY
366,T
367,TAP
368,TDC
369,TDG
370,TEL
371,TER
372,TGT
373,THC
374,TJX
375,TMO
376,TMUS
377,TPR
378,TROW
379,TRV
380,TSCO
381,TSN
382,TTWO
383,TXN
384,TXT
385,UAA
386,UAL
387,UDR
388,UHS
389,ULTA
390,UNH
391,UNM
392,UNP
393,UPS
394,URBN
395,URI
396,USB
397,V
398,VFC
399,VIAV
400,VLO
401,VMC
402,VNO
403,VRSK
404,VRSN
405,VRTX
406,VTR
407,VZ
408,WAT
409,WDC
410,WEC
411,WELL
412,WFC
413,WHR
414,WM
415,WMB
416,WMT
417,WU
418,WY
419,WYNN
420,XEL
421,XOM
422,XRAY
423,XRX
424,YUM
425,ZBH
426,ZION
